company_id,investment_age,funding_round_code,funding_amount_mil,IPO,a,acquired,angel,b,c,d,e,f,merged,neeq,post-IPO,delisted,seed,stg_invse,num_investor
c:11060,139.0,acquired,15500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:11060,133.0,stg_invse,3317.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0
c:11060,80.0,stg_invse,829.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0
c:11060,57.0,a,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
c:11058,72.0,acquired,780.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:11058,43.0,a,200.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
c:11051,68.0,acquired,300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:11051,51.0,b,20.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
c:11051,13.0,b,97.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0
c:11051,5.0,a,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:11047,107.0,acquired,1180.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:11022,55.0,acquired,224.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:11022,53.0,d,312.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0
c:11022,13.0,c,721.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0
c:11022,9.0,b,325.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
c:11022,3.0,a,65.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
c:10910,33.0,acquired,325.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10910,30.0,d,130.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
c:10910,16.0,c,455.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
c:10910,10.0,b,130.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
c:10910,5.0,a,130.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
c:10910,1.0,angel,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10874,173.0,acquired,198.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10823,65.0,acquired,300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10818,108.0,acquired,1200.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10818,21.0,c,130.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
c:10818,10.0,b,130.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
c:10818,6.0,a,65.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:10815,13.0,acquired,300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:10789,12.0,merged,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
c:10757,202.0,acquired,342.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10756,88.0,acquired,720.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10755,180.0,acquired,432.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10754,7.0,acquired,1305.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:10677,62.0,acquired,450.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
