company_id,age_at_news,pos_sentiment,neg_sentiment
c:35654005,43,0.0043,0.9957
c:58166,76,0.9845,0.0155
c:64651,85,0.32,0.68
c:58167,111,0.4123,0.5877
c:47280,66,0.9153,0.0847
c:65172,38,0.9088,0.0912
c:938,119,0.3058,0.6942
c:34642069,10,0.4976,0.5024
c:8728,209,0.88,0.12
c:33019042,37,0.1876,0.8124
c:35655937,43,0.1892,0.8108
c:1964,120,0.9436,0.0564
c:18092,63,0.3099,0.6901
c:28752,56,0.6038,0.3962
c:20291,60,0.8557,0.1443
c:35654375,41,0.4652,0.5348
c:33424409,37,0.9777,0.0223
c:34640288,184,0.3201,0.6799
c:23779304,82,0.0497,0.9503
c:28267,55,0.623,0.377
c:29458,182,0.9518,0.0482
c:4782,117,0.2275,0.7725
c:35654005,43,0.3838,0.6162
c:1921,181,0.2688,0.7312
c:82572,84,0.7092,0.2908
c:35653933,8,0.8869,0.1131
c:33686983,32,0.1662,0.8338
c:25503,67,0.7369,0.2631
c:35653597,7,0.9307,0.0693
c:35653552,7,0.6105,0.3895
c:34308990,27,0.3183,0.6817
c:57500,45,0.7036,0.2964
c:7172,134,0.915,0.085
c:70618,72,0.8963,0.1037
c:34720758,62,0.9292,0.0708
c:66375,283,0.4552,0.5448
c:30739,56,0.8688,0.1312
c:33107662,21,0.9506,0.0494
c:35648211,246,0.5146,0.4854
c:4782,116,0.004,0.996
c:35403079,320,0.1209,0.8791
c:35647710,57,0.1661,0.8339
c:35646431,105,0.5672,0.4328
c:15578,83,0.9848,0.0152
c:16351590,275,0.2583,0.7417
c:35271634,205,0.3574,0.6426
c:60800,42,0.9329,0.0671
c:3230,78,0.4629,0.5371
c:35645778,17,0.7564,0.2436
c:70154,164,0.9406,0.0594
c:24135147,314,0.9878,0.0122
c:32682157,51,0.1138,0.8862
c:63417,69,0.3399,0.6601
c:33410523,30,0.4474,0.5526
c:80871,89,0.0076,0.9924
c:21455,59,0.0077,0.9923
c:7821,105,0.2415,0.7585
c:2677,79,0.2831,0.7169
c:32836041,53,0.0911,0.9089
c:35644393,192,0.6474,0.3526
c:35488659,19,0.2211,0.7789
c:47090,254,0.6745,0.3255
c:56301,172,0.9232,0.0768
c:35642690,40,0.49,0.51
c:48978,153,0.3036,0.6964
c:35642333,29,0.9837,0.0163
c:32571,49,0.4449,0.5551
c:58047,45,0.2166,0.7834
c:79739,210,0.7773,0.2227
c:26884635,62,0.9946,0.0054
c:33170527,48,0.1522,0.8478
c:32461755,62,0.9675,0.0325
c:35639754,46,0.3691,0.6309
c:32501706,39,0.9568,0.0432
c:35639696,5,0.8881,0.1119
c:35639673,46,0.5909,0.4091
c:35639613,3,0.1766,0.8234
c:33745490,23,0.9658,0.0342
c:33949839,16,0.9665,0.0335
c:14988665,36,0.5791,0.4209
c:35588011,123,0.10099999999999999,0.899
c:32300161,214,0.10099999999999999,0.899
c:56301,172,0.5841,0.4159
c:29364,69,0.7091,0.2909
c:80612,48,0.7404,0.2596
c:33155433,35,0.7084,0.2916
c:35636474,19,0.9289,0.0711
c:1862,98,0.1894,0.8106
c:33750530,27,0.5109,0.4891
c:35636032,27,0.6966,0.3034
c:35488659,19,0.0141,0.9859
c:35635990,4,0.1895,0.8105
c:53406,45,0.6354,0.3646
c:56301,172,0.6035,0.3965
c:16197,63,0.8865,0.1135
c:28041,53,0.4769,0.5231
c:13755,243,0.5699,0.4301
c:35633701,7,0.595,0.405
c:8728,208,0.8939,0.1061
c:18532714,216,0.49700000000000005,0.503
c:35633336,47,0.6661,0.3339
c:35592104,3,0.0636,0.9364
c:32577741,42,0.8392,0.1608
c:30931,94,0.3437,0.6563
c:83294,126,0.379,0.621
c:35631975,13,0.3303,0.6697
c:6014,173,0.8126,0.1874
c:35631858,6,0.9790000000000001,0.021
c:67857,48,0.7608,0.2392
c:35631055,210,0.024,0.976
c:35631011,11,0.3362,0.6638
c:35310212,7,0.9142,0.0858
c:35577772,257,0.10099999999999999,0.899
c:79933,270,0.9032,0.0968
c:33050459,25,0.0388,0.9612
c:788,76,0.0315,0.9685
c:44766,184,0.4206,0.5794
c:8676,191,0.5337,0.4663
c:27185,176,0.1113,0.8887
c:3749,76,0.8365,0.1635
c:157,89,0.0261,0.9739
c:21675067,53,0.4152,0.5848
